 BEGINING,TEST,HERE
"(585, 405)","(685, 407)","(836.8974358974359, 499)"
Accuarcy Avg,46.1461246535831,N/A
Accuarcy,"[45.67058010051003, 44.42539070725609, 47.634940344998626, 45.20438593664093, 45.891340497548846, 46.85680581708598, 47.385403514928264, 46.02394912645548, 48.076547366978005, 45.572168191826016, 46.21311822620443, 45.05279897047499, 44.872795887692504, 46.49997847048566, 45.85642953660603, 45.928331401591564, 46.38050330893484, 46.38050330893484, 45.85642953660603, 47.77937885268964, 45.50683862079639]",N/A
Precision,0.05030817474604153,N/A
=====,=====,=====
"(583, 406)","(683, 408)","(872.1069418386493, 553)"
"(585, 407)","(683, 408)","(861.3121951219512, 567)"
"(583, 406)","(683, 407)","(872.1069418386493, 521)"
"(583, 406)","(682, 406)","(875.7692307692307, 523)"
"(584, 406)","(684, 407)","(893.0121951219513, 531)"
"(584, 406)","(683, 407)","(866.5955128205128, 503)"
"(584, 407)","(684, 407)","(877.548780487805, 532)"
"(585, 406)","(683, 407)","(872.6916823014384, 521)"
"(585, 405)","(683, 407)","(851.023076923077, 499)"
"(585, 406)","(685, 407)","(897.3552631578948, 531)"
"(585, 406)","(684, 407)","(840.7125, 521)"
"(586, 406)","(684, 407)","(857.25, 542)"
"(586, 405)","(685, 407)","(842.0375, 481)"
"(585, 405)","(684, 407)","(862.3783536585365, 499)"
"(585, 406)","(683, 407)","(862.5736842105264, 575)"
"(585, 406)","(682, 407)","(860.9102564102565, 531)"
"(584, 406)","(682, 407)","(823.4146341463414, 521)"
"(584, 406)","(682, 407)","(865.9115384615385, 586)"
"(584, 406)","(682, 408)","(839.6454033771106, 587)"
"(585, 405)","(682, 407)","(867.3013478818998, 520)"
"(584, 406)","(682, 407)","(871.3151969981238, 531)"
"(584, 405)","(683, 407)","(888.247029393371, 499)"
Accuarcy Avg,56.640941042339925,N/A
Accuarcy,"[56.741499331479766, 57.249353916038274, 56.28338227674021, 56.202219722010014, 55.80065455920417, 56.203290677535215, 56.27786286866943, 56.26594858786922, 56.6184637043239, 55.669021573277334, 57.199944076225364, 57.00852535437248, 56.665644225891675, 56.27800478071655, 57.331395659158154, 56.751262307147925, 57.68889639503671, 57.40368267750342, 58.11941215375693, 56.41238099822933, 56.44743779488032, 55.48241929141193]",N/A
Precision,0.0703577103358238,N/A
=====,=====,=====
"(578, 408)","(678, 408)","(716.1615384615384, 557)"
"(580, 408)","(679, 409)","(749.7506410256411, 523)"
"(580, 407)","(679, 408)","(677.5293933708568, 522)"
"(580, 407)","(678, 409)","(701.1737179487179, 533)"
"(579, 407)","(677, 408)","(683.9564102564103, 522)"
"(579, 408)","(677, 408)","(668.2564102564103, 547)"
"(579, 408)","(678, 409)","(700.6163461538462, 545)"
"(579, 408)","(678, 409)","(732.4442307692308, 544)"
"(578, 408)","(678, 408)","(716.1615384615384, 491)"
"(579, 407)","(678, 408)","(732.4442307692308, 522)"
"(577, 408)","(675, 409)","(673.7623514696686, 589)"
"(578, 407)","(676, 408)","(682.8673076923078, 522)"
