BEGINING,TEST,HERE
Accuarcy,"[40.670273831284135, 42.96064002195651, 46.51246395136417, 46.93457927159154, 42.158133519860336, 44.23564777175089, 42.68562357371837, 48.14713297466921, 43.64999878294359, 42.4879439051322, 40.769088583062526, 42.77805827449819, 41.18450493755418, 42.26272733074419, 43.47989714614015, 42.467607631376005, 43.97960185420277, 43.39816903868448, 44.12339465905879, 43.54785698019077, 41.75727442735989]",N/A
Precision,0.025384185002594387,N/A
=====,=====,=====
"(588, 403)","(687, 404)","(765.3627311522048, 717)"
"(587, 404)","(685, 404)","(753.2390852390853, 718)"
"(587, 404)","(685, 404)","(731.06191369606, 682)"
"(587, 404)","(686, 404)","(760.6217948717949, 682)"
"(585, 403)","(684, 403)","(778.4583926031295, 626)"
"(587, 404)","(684, 403)","(796.4089615931722, 635)"
"(586, 405)","(684, 405)","(742.118758434548, 684)"
"(584, 405)","(683, 405)","(724.1221322537112, 720)"
"(587, 404)","(684, 405)","(752.6469161469162, 674)"
"(584, 405)","(683, 404)","(757.0367746288799, 728)"
"(586, 404)","(684, 405)","(758.8292847503374, 674)"
"(586, 405)","(684, 405)","(742.6925675675675, 684)"
"(589, 403)","(687, 405)","(801.5897435897435, 592)"
"(588, 404)","(686, 404)","(744.8859649122808, 667)"
"(587, 404)","(685, 404)","(719.7422037422037, 667)"
"(587, 404)","(687, 405)","(751.8276315789474, 719)"
"(588, 404)","(686, 404)","(738.09009009009, 667)"
"(588, 404)","(687, 404)","(768.3552631578947, 718)"
"(587, 403)","(686, 403)","(757.8353658536585, 615)"
"(589, 403)","(687, 403)","(762.4143049932524, 671)"
"(590, 402)","(687, 403)","(785.5230263157894, 594)"
"(588, 403)","(686, 403)","(728.1228070175439, 640)"
Accuarcy Avg,19.245415217917778,N/A
Accuarcy,"[18.79026386626328, 17.081888417746352, 14.987938078721424, 18.938831513053234, 24.421305389574318, 25.78032407593601, 16.37210409904817, 12.857204639166392, 18.27016735283569, 17.65582240241396, 19.071723453323177, 16.449541513448033, 29.219162251594657, 17.684947104048845, 14.562972432805378, 16.87930642113804, 16.83100736724159, 19.203357381094104, 23.18213526102043, 19.685243961941698, 27.577070918818237, 17.896816892958103]",N/A
Precision,0.011006921233295584,N/A
=====,=====,=====
"(593, 402)","(690, 403)","(805.2513157894737, 644)"
"(593, 403)","(692, 403)","(780.6498716302953, 640)"
"(593, 402)","(691, 404)","(770.0787992495309, 716)"
"(593, 403)","(691, 403)","(753.8270676691731, 671)"
"(592, 404)","(692, 404)","(817.4453441295547, 686)"
"(593, 403)","(691, 403)","(754.4202626641651, 604)"
"(593, 403)","(691, 405)","(789.8289473684209, 808)"
"(593, 403)","(692, 404)","(818.3192567567568, 717)"
"(593, 403)","(691, 403)","(824.0304878048781, 640)"
"(593, 402)","(692, 403)","(767.7918353576248, 563)"
"(593, 403)","(691, 403)","(777.2197802197803, 604)"
"(592, 404)","(689, 404)","(778.0432692307693, 865)"
"(591, 403)","(691, 402)","(786.1169480925579, 684)"
"(591, 403)","(690, 403)","(778.4538461538463, 671)"
"(592, 401)","(690, 401)","(772.5736842105263, 575)"
"(593, 401)","(691, 402)","(812.5956354300384, 584)"
"(593, 401)","(692, 402)","(807.3519736842105, 584)"
"(593, 402)","(693, 403)","(775.8302631578947, 644)"
"(593, 402)","(692, 402)","(780.8846153846155, 577)"
"(592, 402)","(690, 403)","(765.9993252361674, 715)"
"(593, 401)","(692, 401)","(775.2269736842105, 546)"
"(592, 401)","(693, 402)","(814.4656611039795, 562)"
Accuarcy Avg,28.58265396660337,N/A
Accuarcy,"[25.069053431218073, 28.05038701010751, 27.26741608806562, 29.89808162547415, 21.684538624091875, 32.63793745533876, 27.465408266087234, 21.031843405488182, 23.1727831845716, 33.95527010136155, 30.428755394738594, 32.263415295000506, 25.72448380185081, 27.03099336620046, 32.7391076791234, 28.553625379743565, 29.01751410354575, 28.39451549807866, 31.876229997915033, 27.768943108545784, 34.552760170899774, 30.235324277827416]",N/A
Precision,0.012488813145602119,N/A
=====,=====,=====
"(590, 401)","(690, 401)","(837.8947368421052, 592)"
"(591, 402)","(691, 402)","(844.0055440055442, 669)"
"(594, 401)","(692, 401)","(830.1294871794872, 510)"
"(592, 403)","(690, 402)","(815.7395411605938, 639)"
"(591, 402)","(690, 403)","(804.8388157894736, 679)"
"(591, 401)","(691, 401)","(838.2307692307693, 592)"
"(593, 402)","(692, 402)","(878.4951923076924, 678)"
"(591, 402)","(690, 402)","(810.8894230769231, 603)"
"(590, 402)","(691, 402)","(832.3906882591093, 683)"
"(593, 402)","(689, 403)","(827.1365384615385, 670)"
"(590, 401)","(689, 401)","(842.0304920304922, 535)"
"(591, 401)","(689, 402)","(853.0526315789474, 562)"
"(590, 402)","(688, 402)","(846.3947368421052, 678)"
"(589, 402)","(690, 402)","(864.317476383266, 669)"
"(588, 401)","(687, 402)","(839.375, 682)"
"(590, 402)","(689, 401)","(890.3807692307691, 588)"
"(586, 402)","(689, 402)","(819.5230263157895, 625)"
"(590, 402)","(691, 402)","(876.4736842105264, 638)"
"(591, 401)","(690, 403)","(898.5151821862348, 669)"
"(589, 401)","(688, 401)","(812.9888663967612, 510)"
"(590, 401)","(688, 401)","(868.5355263157896, 535)"
"(589, 401)","(688, 401)","(840.5413992297819, 561)"
Accuarcy Avg,50.693820201034924,N/A
Accuarcy,"[51.31350191184806, 49.982837100342245, 53.41120426585306, 51.972677648388, 52.303729915396275, 51.29388958591662, 47.604907068825334, 52.681437223163186, 50.62767055087589, 51.02953390123648, 52.217084973295286, 51.00675520163022, 49.76767353175356, 48.65084925785792, 50.193598912411005, 48.14184222219517, 51.90774153352106, 48.16960694270212, 46.24067637393691, 54.2547827760865, 50.75275528696627, 51.73928823856722]",N/A
Precision,0.023524671125226996,N/A
=====,=====,=====
"(588, 401)","(688, 400)","(862.2901484480433, 560)"
"(588, 401)","(688, 400)","(857.2986832986834, 535)"
"(590, 400)","(689, 400)","(880.7149122807018, 519)"
"(589, 402)","(689, 402)","(884.7692307692307, 603)"
"(590, 401)","(689, 400)","(902.8730263157894, 547)"
"(587, 400)","(690, 400)","(846.5941295546559, 570)"
"(589, 400)","(688, 400)","(862.5350877192982, 534)"
"(588, 400)","(689, 400)","(862.9659244264508, 560)"
"(588, 400)","(689, 400)","(879.7685560053981, 534)"
"(589, 400)","(690, 400)","(910.2792792792793, 494)"
"(587, 400)","(688, 400)","(868.1743421052632, 498)"
"(587, 401)","(690, 400)","(857.4727564102565, 611)"
"(589, 400)","(689, 400)","(892.2972972972973, 534)"
"(585, 401)","(687, 400)","(800.8578947368421, 560)"
"(590, 401)","(688, 400)","(879.595141700405, 560)"
"(587, 400)","(687, 399)","(860.9385964912282, 493)"
"(587, 400)","(689, 401)","(868.8552631578948, 560)"
"(586, 400)","(689, 400)","(822.0394736842105, 519)"
"(590, 399)","(691, 399)","(936.1153846153848, 493)"
"(588, 400)","(691, 400)","(881.5779352226721, 581)"
"(588, 399)","(689, 399)","(862.9659244264508, 471)"
"(589, 400)","(691, 400)","(920.4210526315791, 560)"
Accuarcy Avg,63.80039156869316,N/A
Accuarcy,"[63.97604392203669, 64.28776376620847, 63.73396355390992, 63.04462664913709, 62.83664162280549, 64.36937930209369, 64.14552189687596, 63.95626693815492, 63.64293674031048, 63.07864580172561, 64.26905908221126, 63.844459905814325, 63.26651897353796, 65.66649868154005, 63.460922710490195, 64.51244429448762, 63.78275683611501, 65.35951063559203, 62.28706105340712, 63.26678009055226, 64.65055131735708, 62.17026073688652]",N/A
Precision,0.053665241364680906,N/A
=====,=====,=====
"(571, 423)","(669, 425)","(668.1315789473684, 716)"
"(570, 423)","(668, 426)","(657.9358151476251, 686)"
"(569, 423)","(666, 426)","(640.0914634146342, 679)"
"(572, 425)","(670, 427)","(644.9152759948652, 719)"
"(571, 425)","(668, 428)","(642.1646341463414, 725)"
"(572, 424)","(671, 427)","(654.2105263157896, 718)"
"(573, 424)","(671, 427)","(685.8368421052631, 761)"
"(573, 424)","(670, 427)","(675.7516046213093, 718)"
"(574, 424)","(671, 427)","(661.6559691912707, 688)"
"(573, 423)","(670, 426)","(668.1416510318949, 679)"
"(573, 423)","(671, 426)","(677.4929396662388, 679)"
"(573, 423)","(671, 426)","(661.473076923077, 679)"
"(573, 423)","(671, 426)","(677.4929396662388, 716)"
"(573, 423)","(671, 426)","(661.473076923077, 686)"
"(573, 423)","(670, 426)","(659.0631868131868, 716)"
"(574, 424)","(671, 426)","(699.5825515947466, 717)"
"(574, 423)","(672, 426)","(693.7772785622594, 679)"
"(575, 423)","(672, 426)","(694.3340821566112, 627)"
"(574, 423)","(673, 426)","(663.9194480102697, 686)"
"(576, 423)","(674, 427)","(712.4518613607189, 691)"
"(574, 423)","(672, 426)","(654.9697368421052, 759)"
Accuarcy Avg,44.934391664943035,N/A
Accuarcy,"[44.2382026726388, 44.86484441415333, 44.06948788946282, 42.484987910418404, 42.014834906343914, 43.187722216457644, 43.865444336824936, 44.67856466826416, 45.010844908571805, 45.81507806134316, 46.38590269767124, 45.40437671884112, 44.87506154185486, 45.088783989947956, 43.612828239428495, 46.30560405359125, 47.36456356600847, 49.50685602827592, 45.2431531358102, 48.030000352790026, 41.57508265510523]",N/A
Precision,0.025271956350869974,N/A
=====,=====,=====
"(577, 423)","(675, 426)","(713.5917843388961, 724)"
"(577, 423)","(675, 426)","(713.5917843388961, 686)"
"(578, 422)","(676, 426)","(723.525, 686)"
"(576, 422)","(674, 425)","(721.2171052631579, 677)"
"(576, 421)","(673, 425)","(704.2059210526315, 756)"
"(575, 422)","(673, 424)","(711.3119383825417, 646)"
"(575, 422)","(673, 425)","(688.0421052631579, 685)"
"(576, 422)","(674, 425)","(691.2681912681911, 685)"
"(577, 422)","(676, 425)","(729.4422336328627, 685)"
"(577, 422)","(675, 425)","(690.2473684210527, 722)"
"(578, 422)","(676, 425)","(714.7317073170732, 677)"
"(579, 422)","(677, 426)","(708.1526315789473, 720)"
"(578, 422)","(677, 425)","(725.1203032300594, 685)"
"(578, 421)","(675, 424)","(683.2236486486487, 645)"
"(578, 421)","(677, 425)","(708.4144736842105, 655)"
"(577, 422)","(677, 425)","(731.2317073170732, 715)"
"(580, 422)","(678, 425)","(718.675, 646)"
"(580, 423)","(678, 426)","(747.6944801026958, 686)"
"(578, 422)","(677, 426)","(718.2331081081081, 686)"
"(579, 422)","(677, 425)","(717.5324324324324, 677)"
"(578, 421)","(676, 424)","(714.7317073170732, 614)"
Accuarcy Avg,31.723869323092487,N/A
Accuarcy,"[27.365947277680284, 31.55031892028761, 31.935089246748852, 32.77888266792795, 23.160574214558196, 35.59555724867462, 30.868257865575043, 30.951332916286795, 32.28529700184519, 26.64900528096745, 32.54304638925665, 27.57447867277044, 32.10432198853522, 35.05920230971137, 34.61257664003238, 29.234371465087982, 35.809278156467364, 33.02450224766739, 31.725160380948154, 32.642898699640874, 38.73115619427236]",N/A
Precision,0.013858906454939519,N/A
=====,=====,=====
"(577, 421)","(676, 423)","(745.9290757381258, 644)"
"(580, 420)","(679, 422)","(742.9756578947369, 642)"
"(582, 420)","(681, 424)","(751.8822207958922, 682)"
"(581, 420)","(681, 423)","(744.746052631579, 643)"
"(584, 420)","(682, 424)","(756.1783783783784, 644)"
"(583, 420)","(682, 424)","(772.6756756756756, 682)"
"(581, 419)","(680, 423)","(727.5638157894737, 631)"
"(582, 420)","(680, 423)","(736.7351351351351, 711)"
"(581, 420)","(679, 423)","(752.5945945945946, 711)"
"(581, 419)","(680, 423)","(770.2324324324325, 681)"
"(582, 420)","(681, 423)","(764.977130977131, 643)"
"(582, 420)","(682, 423)","(769.1091142490371, 643)"
"(582, 420)","(681, 423)","(738.5989864864864, 682)"
"(582, 419)","(682, 423)","(778.357894736842, 681)"
"(582, 419)","(682, 422)","(756.2648648648649, 710)"
"(582, 419)","(681, 423)","(735.2637997432606, 715)"
"(581, 419)","(681, 423)","(739.2932432432433, 642)"
"(582, 419)","(681, 423)","(738.5989864864864, 681)"
"(581, 419)","(680, 422)","(737.4293918918918, 642)"
"(582, 419)","(681, 422)","(787.241554054054, 642)"
"(582, 419)","(681, 423)","(751.8822207958922, 681)"
Accuarcy Avg,40.19075309745075,N/A
Accuarcy,"[42.158937774191685, 42.450615759364815, 39.27465572095189, 42.28903926813778, 41.60048861208643, 37.949338899666564, 43.967386165502504, 38.438393528151586, 37.28371099557273, 38.1761185347573, 41.19716669242282, 40.97807975131136, 40.13230255012882, 37.667783450627425, 37.08431267658739, 38.301372101739105, 42.65158539912472, 40.1960742185466, 42.75355308748354, 40.11285183355517, 39.34204802655559]",N/A
Precision,0.023579243012086054,N/A
=====,=====,=====
"(583, 418)","(682, 422)","(782.4064449064448, 672)"
"(582, 419)","(683, 422)","(801.7891527599487, 642)"
"(582, 419)","(681, 422)","(804.3091216216217, 672)"
"(583, 419)","(683, 422)","(801.010395010395, 710)"
"(585, 418)","(684, 422)","(808.1300675675676, 672)"
"(583, 418)","(682, 421)","(768.4996790757381, 615)"
"(584, 418)","(683, 422)","(783.6434511434511, 679)"
"(584, 418)","(684, 421)","(808.7783783783783, 640)"
"(583, 418)","(683, 421)","(774.5695945945946, 671)"
"(583, 418)","(682, 422)","(788.4881756756756, 714)"
"(583, 418)","(681, 422)","(797.99306999307, 679)"
"(583, 418)","(682, 422)","(805.5827702702703, 672)"
"(582, 419)","(682, 422)","(790.4940587867418, 642)"
"(583, 419)","(682, 423)","(794.7861842105262, 681)"
"(583, 419)","(682, 422)","(794.7861842105262, 642)"
"(583, 419)","(682, 422)","(772.6756756756756, 710)"
"(584, 418)","(683, 422)","(806.856418918919, 610)"
"(583, 419)","(681, 422)","(789.703564727955, 642)"
"(584, 419)","(682, 422)","(799.2557172557173, 710)"
"(583, 418)","(683, 422)","(795.4144736842105, 632)"
"(584, 418)","(683, 421)","(806.856418918919, 640)"
Accuarcy Avg,55.71270466826891,N/A
Accuarcy,"[56.04503238465177, 55.85136855250882, 55.05867663850638, 54.426115089661316, 54.88232925968703, 57.81213473422772, 55.84961989178569, 55.59608092726035, 56.4075592883636, 54.95740722879801, 55.19827888075868, 55.00003650292517, 56.33352047997357, 55.30387803355971, 56.15143152278008, 55.771225360149145, 56.410301375025966, 56.366905913466674, 54.51177028209714, 56.353665035935016, 55.679460651525424]",N/A
Precision,0.061268897312479885,N/A
=====,=====,=====
"(584, 417)","(683, 421)","(839.8155405405406, 670)"
"(585, 418)","(684, 421)","(846.5565789473684, 640)"
"(583, 417)","(682, 420)","(827.2434210526316, 669)"
"(583, 417)","(682, 421)","(817.2159820282415, 712)"
"(584, 417)","(683, 421)","(839.8155405405406, 678)"
"(583, 417)","(683, 421)","(834.5198973042362, 712)"
"(583, 418)","(682, 421)","(822.6773648648649, 708)"
"(582, 418)","(682, 421)","(810.7894736842105, 708)"
"(584, 417)","(682, 421)","(822.2165991902834, 670)"
"(582, 416)","(682, 420)","(837.827027027027, 705)"
"(580, 417)","(679, 420)","(807.5822368421053, 669)"
"(580, 417)","(680, 420)","(813.9858793324777, 669)"
"(582, 416)","(680, 420)","(830.6681643132222, 676)"
"(580, 416)","(680, 419)","(840.5526315789474, 705)"
"(580, 416)","(678, 419)","(817.4246404002502, 705)"
"(579, 416)","(678, 419)","(806.2993421052632, 675)"
"(581, 417)","(681, 419)","(809.5065789473684, 675)"
"(580, 417)","(680, 420)","(798.6200256739411, 669)"
"(580, 416)","(680, 420)","(845.6538461538462, 676)"
"(578, 416)","(678, 419)","(799.6194331983806, 637)"
"(579, 417)","(678, 419)","(822.0118421052631, 705)"
Accuarcy Avg,65.44093090868107,N/A
Accuarcy,"[65.10604706924674, 65.18365830319819, 65.44132942079347, 65.40096014864993, 65.04310177334025, 64.94005776595925, 65.28299619894011, 65.59312443841286, 65.56250698119771, 64.89800175781279, 65.93809585855551, 65.7782779731389, 65.29915544939549, 64.82392855472175, 65.44025495153863, 65.92711149024508, 65.84706291040307, 66.15863052975567, 64.90300534898758, 66.37205604932578, 65.32018610868366]",N/A
Precision,0.11200461356456447,N/A
=====,=====,=====
END,TEST,HERE
