BEGINING,TEST,HERE
"(586, 419)","(687, 420)","(857.0474705474705, 559)"
"(587, 419)","(686, 420)","(838.9625779625779, 572)"
"(586, 419)","(687, 420)","(839.8447678447678, 537)"
"(586, 419)","(687, 421)","(839.8447678447678, 560)"
Accuarcy Avg,57.75518686719909,N/A
Accuarcy,"[56.544317744489646, 56.79068854931345, 57.561730702347425, 59.32448942618971, 58.447535447470436, 56.23703125512251, 58.073745108872245, 58.30388933903945, 58.423211296282744, 56.8918717952376, 56.48684532263629, 57.11959841089371, 58.20160126585587, 58.10573111130026, 58.70568531607041, 59.38105808271327, 58.63582000416345, 57.01762825378348, 58.01067969710257, 56.96296906475713, 57.63279701753908]",N/A
Precision,0.05264154158420628,N/A
=====,=====,=====
"(586, 418)","(686, 420)","(831.8662873399716, 558)"
"(586, 419)","(685, 419)","(871.1150381150381, 593)"
"(587, 418)","(686, 419)","(872.4857934857935, 523)"
"(587, 418)","(684, 419)","(864.6596728307254, 545)"
"(589, 417)","(688, 419)","(879.7685560053981, 557)"
"(588, 417)","(687, 419)","(863.048245614035, 557)"
"(586, 418)","(688, 419)","(874.0540540540541, 558)"
"(588, 417)","(687, 419)","(884.6105974395449, 557)"
"(587, 417)","(686, 419)","(849.2702702702703, 544)"
"(586, 417)","(686, 419)","(849.0554765291607, 557)"
"(586, 417)","(687, 419)","(883.6756756756757, 617)"
"(587, 417)","(687, 418)","(875.875, 544)"
"(588, 417)","(688, 419)","(908.1441441441442, 592)"
"(587, 417)","(688, 418)","(898.4649122807018, 556)"
"(586, 417)","(686, 418)","(861.6081081081081, 581)"
"(585, 417)","(687, 418)","(856.3742203742204, 591)"
"(586, 417)","(686, 418)","(893.0607287449393, 556)"
"(586, 417)","(685, 417)","(866.3440170940171, 545)"
"(585, 417)","(685, 418)","(854.1476091476093, 556)"
"(586, 416)","(687, 417)","(883.5625, 533)"
"(586, 416)","(686, 416)","(855.4927234927236, 520)"
Accuarcy Avg,65.85796469494757,N/A
Accuarcy,"[66.7076306341257, 66.25355458170982, 65.38138066591726, 65.82241229042125, 65.61181351598171, 65.99953878773898, 65.75752748672656, 65.49769128226687, 66.16654868399078, 66.3165590784854, 66.28729317913103, 65.54618713734881, 65.40620687786547, 65.15354829774361, 66.31621441791012, 66.54968702109743, 65.28375407846625, 65.7830180771743, 66.19055711351348, 65.22845470189777, 65.7576806843866]",N/A
Precision,0.10704866107226238,N/A
=====,=====,=====
"(579, 418)","(677, 416)","(612.3326403326404, 606)"
"(581, 417)","(679, 417)","(687.3886639676114, 581)"
"(581, 418)","(678, 418)","(646.0772695772696, 638)"
"(579, 417)","(679, 416)","(680.4358974358975, 508)"
"(579, 418)","(678, 416)","(663.4166666666666, 606)"
"(579, 417)","(677, 416)","(645.4081774081775, 580)"
"(579, 415)","(677, 414)","(644.5263157894736, 449)"
"(580, 416)","(677, 415)","(670.5192034139403, 566)"
"(579, 416)","(676, 416)","(652.9391891891892, 605)"
"(581, 417)","(678, 416)","(671.5860597439546, 580)"
"(581, 416)","(679, 416)","(695.4868421052631, 579)"
"(581, 416)","(678, 416)","(663.0907830907831, 605)"
"(579, 415)","(677, 415)","(644.5263157894736, 553)"
"(580, 415)","(677, 414)","(687.5897435897436, 565)"
"(578, 415)","(675, 415)","(626.5, 633)"
"(579, 416)","(676, 415)","(652.0580296896085, 642)"
"(579, 415)","(677, 414)","(644.5263157894736, 565)"
"(580, 415)","(678, 414)","(694.3828947368421, 577)"
"(579, 415)","(676, 414)","(652.0580296896085, 565)"
"(580, 415)","(677, 414)","(653.9797297297298, 640)"
"(580, 415)","(679, 415)","(694.9348684210526, 664)"
"(580, 415)","(678, 414)","(645.5526315789473, 595)"
Accuarcy Avg,48.04269285007809,N/A
Accuarcy,"[46.03070339215225, 49.31618815769804, 49.30038143647041, 46.592342982644446, 48.89629513144768, 46.823326013725094, 42.397143797383855, 47.807306456449645, 48.279651759010136, 48.37419472648514, 49.70603352608163, 48.839333651414236, 45.692473613486484, 48.792202596859205, 48.07809494608732, 49.76834423421678, 46.164212933672374, 49.57828724842515, 46.63650136804707, 49.779944697834026, 52.63635369147696, 47.44992634065019]",N/A
Precision,0.02266741691665066,N/A
=====,=====,=====
"(584, 414)","(682, 415)","(717.2245322245323, 633)"
"(584, 414)","(682, 415)","(714.6236842105263, 602)"
"(583, 414)","(681, 414)","(697.6947368421053, 602)"
"(581, 414)","(680, 413)","(680.2763157894736, 541)"
"(582, 413)","(680, 413)","(697.9043659043658, 551)"
"(583, 413)","(682, 413)","(698.2467105263157, 525)"
"(585, 412)","(684, 413)","(758.65991902834, 487)"
"(582, 414)","(681, 413)","(699.3326403326404, 541)"
"(582, 414)","(681, 413)","(687.7682692307693, 563)"
"(582, 413)","(681, 413)","(704.4589216944802, 575)"
"(583, 413)","(684, 412)","(692.0624156545209, 540)"
"(583, 413)","(684, 412)","(702.4255024255024, 540)"
"(584, 413)","(684, 412)","(708.8650472334682, 525)"
"(585, 413)","(685, 413)","(728.1047297297297, 563)"
"(584, 412)","(685, 413)","(717.9868421052631, 537)"
"(583, 413)","(682, 412)","(665.3314571607254, 540)"
"(586, 413)","(684, 412)","(735.7726957726957, 562)"
"(587, 412)","(685, 413)","(747.4358974358975, 588)"
"(585, 412)","(684, 412)","(710.3827702702703, 574)"
"(586, 411)","(685, 413)","(725.6447368421052, 561)"
"(586, 412)","(685, 413)","(734.1697368421054, 600)"
Accuarcy Avg,29.896483132777956,N/A
Accuarcy,"[37.588464610495656, 34.49357637235491, 34.01972542056157, 26.707443520755547, 28.436555648413705, 25.396613504725753, 25.247847333416825, 27.33043430750677, 29.50265440504874, 31.341522636901182, 26.948953791988707, 27.335451552932373, 25.878676477633064, 30.9818293788264, 27.69026001820957, 26.252424400610714, 31.23926704995474, 34.36668884319581, 31.4346706168041, 30.659761325751557, 34.973324572249346]",N/A
Precision,0.01349412674694383,N/A
=====,=====,=====
"(589, 411)","(688, 411)","(777.0192554557124, 560)"
"(588, 411)","(688, 411)","(793.2002567394096, 526)"
"(588, 411)","(687, 412)","(780.0760135135135, 635)"
"(590, 411)","(688, 412)","(780.6162162162162, 598)"
"(589, 411)","(688, 412)","(744.6434531450577, 598)"
"(590, 411)","(689, 411)","(810.6627086007703, 560)"
"(589, 411)","(689, 413)","(755.0289473684211, 636)"
"(589, 411)","(689, 411)","(774.948024948025, 560)"
