BEGINING,TEST,HERE
"(562, 375)","(664, 376)","(871, 470)"
"(562, 374)","(665, 376)","(899, 470)"
"(562, 374)","(663, 375)","(865, 443)"
"(563, 373)","(664, 375)","(888, 427)"
"(562, 374)","(664, 376)","(909, 461)"
"(562, 374)","(664, 376)","(902, 427)"
"(562, 374)","(664, 376)","(882, 461)"
"(563, 374)","(663, 375)","(892, 452)"
"(562, 373)","(664, 376)","(899, 433)"
"(562, 374)","(663, 375)","(871, 431)"
Accuarcy Avg,85.18652464208901,N/A
Accuarcy,"[85.12035681507922, 85.27520963050914, 85.211876366053, 85.01556139982713, 85.31439228662367, 85.14240928746507, 85.29823911401336, 85.04089619651019, 85.22068928651366, 85.18798286504718, 85.18201785126834, 85.33648293722352, 85.17772028803563, 85.31312560362579, 85.14593450907235, 85.09622633520146, 85.05973995396754, 85.2549838807306, 85.17666496235121, 85.09169486677465, 85.25481304797687]",N/A
Precision,0.5169408077674114,N/A
=====,=====,=====
"(569, 371)","(668, 373)","(719, 576)"
"(570, 370)","(669, 372)","(746, 523)"
"(570, 370)","(668, 372)","(737, 576)"
"(566, 371)","(667, 372)","(709, 523)"
"(566, 371)","(666, 372)","(726, 517)"
"(568, 371)","(667, 372)","(726, 540)"
"(569, 371)","(667, 372)","(768, 490)"
"(568, 370)","(666, 371)","(727, 490)"
"(567, 370)","(666, 372)","(728, 501)"
"(568, 370)","(666, 372)","(726, 523)"
"(567, 371)","(666, 373)","(719, 576)"
"(567, 371)","(668, 372)","(743, 523)"
"(568, 371)","(668, 373)","(761, 523)"
"(567, 371)","(666, 372)","(719, 490)"
"(569, 371)","(666, 372)","(743, 490)"
"(568, 371)","(667, 372)","(735, 490)"
"(568, 371)","(669, 372)","(761, 490)"
"(569, 371)","(668, 372)","(741, 490)"
"(568, 371)","(667, 372)","(726, 490)"
"(568, 371)","(668, 372)","(741, 471)"
"(569, 371)","(668, 373)","(764, 523)"
Accuarcy Avg,81.81232273640607,N/A
Accuarcy,"[81.97095497619979, 82.01273939551895, 82.23955196233757, 81.37167772644781, 81.63598483629856, 81.79969705759433, 82.18792853113966, 81.48085860753581, 81.56681546336976, 81.67745011732974, 81.97095497619979, 81.96403629620443, 82.24831370222518, 81.32862402465506, 81.77069289862767, 81.62814087228995, 82.07521014704308, 81.73548666347948, 81.46210480420504, 81.63765971252631, 82.29389469329999]",N/A
Precision,0.16399177895592912,N/A
=====,=====,=====
"(569, 369)","(667, 374)","(738, 548)"
"(568, 369)","(667, 373)","(715, 495)"
"(569, 370)","(669, 373)","(754, 514)"
"(568, 369)","(667, 373)","(748, 514)"
"(568, 369)","(668, 372)","(738, 506)"
"(569, 368)","(669, 371)","(741, 462)"
"(569, 368)","(667, 371)","(733, 421)"
"(568, 368)","(668, 371)","(757, 437)"
"(571, 368)","(671, 371)","(766, 452)"
"(568, 370)","(668, 371)","(757, 454)"
"(569, 369)","(668, 373)","(757, 526)"
"(568, 369)","(667, 370)","(757, 437)"
"(568, 370)","(668, 372)","(774, 447)"
"(568, 370)","(666, 371)","(741, 454)"
"(567, 370)","(668, 372)","(765, 480)"
"(567, 371)","(666, 372)","(724, 488)"
"(568, 370)","(668, 372)","(774, 480)"
"(567, 369)","(665, 374)","(717, 504)"
"(567, 369)","(665, 373)","(731, 478)"
"(567, 370)","(668, 371)","(780, 491)"
"(567, 369)","(668, 371)","(774, 461)"
Accuarcy Avg,68.2971182921343,N/A
Accuarcy,"[73.20233359181476, 67.49013466148935, 71.52951172400287, 71.20901036859135, 70.00023900639006, 65.97005729957029, 60.08243644630817, 65.44277076453622, 67.69544824713034, 66.90515416061255, 72.50862398156436, 65.44277076453622, 68.16959148096251, 65.11561306890222, 69.72827539451366, 67.31390406145998, 70.41458232695857, 68.59826700430918, 66.75688764287808, 71.54099098516582, 69.12288115312342]",N/A
Precision,0.015954599978733417,N/A
=====,=====,=====
"(571, 370)","(673, 373)","(815, 452)"
"(572, 370)","(672, 372)","(808, 454)"
"(572, 370)","(672, 372)","(802, 437)"
"(572, 371)","(673, 373)","(815, 470)"
"(572, 370)","(673, 372)","(798, 452)"
"(572, 370)","(673, 372)","(791, 427)"
"(572, 370)","(674, 373)","(813, 427)"
"(572, 371)","(673, 373)","(804, 437)"
"(571, 371)","(672, 374)","(804, 462)"
"(572, 371)","(672, 373)","(787, 437)"
"(571, 372)","(670, 373)","(791, 454)"
"(570, 370)","(670, 372)","(797, 427)"
"(570, 371)","(670, 373)","(791, 427)"
"(571, 371)","(670, 373)","(791, 470)"
"(571, 370)","(671, 373)","(786, 443)"
"(570, 371)","(672, 374)","(820, 489)"
"(571, 371)","(672, 374)","(817, 489)"
"(570, 372)","(671, 374)","(791, 470)"
"(569, 371)","(671, 374)","(803, 489)"
"(569, 371)","(670, 373)","(791, 461)"
"(571, 371)","(672, 373)","(825, 470)"
Accuarcy Avg,70.89551820056556,N/A
Accuarcy,"[69.55998307188936, 70.29721085045414, 69.9921942584438, 70.62613088614772, 71.04084527858657, 70.60580020495792, 68.38825089011566, 69.8022927248318, 71.04895586459443, 71.3259376060058, 71.68806960118646, 70.04120538564716, 70.60580020495792, 72.39116948985732, 71.63482689584711, 71.4180655864079, 71.61751512875848, 72.39116948985732, 72.51757710476873, 71.99221115173093, 69.8206705368304]",N/A
Precision,0.045431042202213764,N/A
=====,=====,=====
"(571, 372)","(671, 375)","(837, 519)"
"(571, 371)","(670, 374)","(819, 480)"
"(572, 371)","(674, 374)","(837, 480)"
"(570, 372)","(672, 374)","(842, 489)"
"(572, 371)","(674, 374)","(871, 470)"
"(572, 372)","(672, 374)","(847, 519)"
"(571, 371)","(674, 374)","(854, 480)"
"(570, 371)","(672, 373)","(837, 461)"
"(570, 371)","(673, 374)","(854, 480)"
"(572, 371)","(671, 373)","(815, 470)"
"(571, 372)","(672, 374)","(865, 470)"
"(571, 371)","(671, 374)","(808, 443)"
"(571, 372)","(672, 374)","(837, 509)"
"(570, 372)","(672, 374)","(847, 501)"
"(571, 371)","(672, 374)","(858, 461)"
"(571, 372)","(673, 374)","(864, 490)"
"(571, 372)","(672, 375)","(842, 519)"
"(571, 372)","(673, 375)","(858, 480)"
"(570, 372)","(670, 375)","(812, 480)"
"(571, 372)","(673, 376)","(854, 534)"
"(571, 372)","(671, 375)","(830, 523)"
Accuarcy Avg,82.01264650439005,N/A
Accuarcy,"[82.25661424189038, 82.34804470719807, 82.06162810080949, 82.02106359876045, 81.40707399956104, 82.1007921184094, 81.7716667389713, 81.98234428906434, 81.7716667389713, 82.37132950777503, 81.52140017900177, 82.39348671650053, 82.20288383703773, 81.9999185147854, 81.60975212189837, 81.64621413940485, 82.17942267836723, 81.70048375351334, 82.4541406233422, 82.08206737579927, 82.38358261112968]",N/A
Precision,0.15521461290705268,N/A
=====,=====,=====
"(572, 373)","(674, 375)","(871, 490)"
"(572, 372)","(673, 375)","(849, 523)"
"(571, 371)","(672, 373)","(895, 469)"
"(571, 372)","(673, 375)","(871, 523)"
"(571, 372)","(673, 375)","(854, 501)"
"(573, 372)","(675, 375)","(899, 501)"
"(574, 372)","(674, 375)","(888, 490)"
"(573, 372)","(675, 376)","(895, 556)"
"(572, 372)","(672, 375)","(864, 501)"
"(573, 372)","(673, 374)","(852, 501)"
"(572, 372)","(674, 374)","(864, 469)"
"(572, 372)","(672, 374)","(849, 469)"
"(573, 372)","(674, 375)","(875, 523)"
"(572, 372)","(673, 375)","(860, 523)"
"(573, 371)","(673, 375)","(864, 509)"
"(572, 372)","(673, 375)","(877, 549)"
"(571, 371)","(673, 375)","(871, 556)"
"(572, 372)","(673, 375)","(905, 523)"
"(571, 372)","(672, 374)","(864, 501)"
"(571, 372)","(673, 375)","(882, 531)"
"(571, 372)","(672, 374)","(847, 501)"
Accuarcy Avg,85.0841931771908,N/A
Accuarcy,"[85.06031374020601, 85.23935410662155, 84.87347942207967, 85.10308739889601, 85.18145216297337, 84.88534180038202, 84.94671837480007, 85.00146161850215, 85.1185887843398, 85.19383495993141, 85.08361517464981, 85.17930822719715, 85.07749256120658, 85.17215639477759, 85.12859232809947, 85.10500752865505, 85.15401178747952, 84.8769228061842, 85.1185887843398, 85.0442079513612, 85.22452080832437]",N/A
Precision,0.4391712632437539,N/A
=====,=====,=====
"(567, 373)","(665, 373)","(716, 490)"
"(566, 372)","(666, 372)","(743, 490)"
"(566, 373)","(665, 374)","(734, 523)"
"(565, 373)","(665, 373)","(709, 499)"
"(564, 373)","(666, 374)","(743, 523)"
"(565, 373)","(666, 374)","(741, 490)"
"(565, 373)","(665, 373)","(726, 490)"
"(565, 373)","(665, 373)","(743, 471)"
"(566, 373)","(665, 374)","(724, 501)"
"(566, 373)","(665, 374)","(743, 501)"
"(565, 373)","(665, 374)","(734, 501)"
"(565, 374)","(665, 374)","(726, 517)"
"(564, 374)","(665, 374)","(726, 540)"
"(566, 374)","(665, 374)","(727, 540)"
"(566, 374)","(664, 374)","(734, 509)"
"(565, 373)","(665, 373)","(726, 490)"
"(565, 373)","(665, 373)","(726, 517)"
"(565, 373)","(664, 374)","(728, 523)"
"(565, 373)","(664, 374)","(726, 523)"
"(565, 373)","(664, 374)","(734, 523)"
"(565, 373)","(664, 373)","(716, 450)"
Accuarcy Avg,81.16170325900086,N/A
Accuarcy,"[80.89055658607377, 81.45499082551459, 81.21952775592926, 80.70770896849075, 81.40322558317455, 81.41555528896244, 81.10795940520713, 81.5069713036378, 81.03921997621933, 81.43218554177369, 81.25037750158187, 81.0559755701192, 81.04186763713773, 81.06352213709782, 81.23639526197626, 81.10795940520713, 81.0559755701192, 81.09267765561597, 81.04958326190054, 81.21952775592926, 81.04400544734989]",N/A
Precision,0.2440899469058791,N/A
=====,=====,=====
"(566, 374)","(667, 375)","(772, 549)"
"(568, 372)","(669, 374)","(805, 523)"
"(567, 373)","(666, 373)","(768, 490)"
"(567, 374)","(668, 375)","(801, 513)"
"(566, 373)","(667, 374)","(761, 513)"
"(567, 373)","(667, 374)","(761, 490)"
"(566, 373)","(667, 374)","(786, 513)"
"(566, 373)","(667, 374)","(778, 490)"
"(567, 373)","(668, 374)","(800, 513)"
"(566, 373)","(667, 375)","(778, 523)"
"(566, 373)","(667, 374)","(743, 513)"
"(565, 373)","(665, 374)","(726, 523)"
"(566, 373)","(666, 374)","(770, 513)"
"(565, 373)","(666, 374)","(751, 549)"
"(565, 373)","(666, 373)","(778, 490)"
"(563, 373)","(665, 374)","(743, 503)"
"(566, 374)","(667, 374)","(795, 540)"
"(566, 372)","(666, 373)","(761, 490)"
"(567, 372)","(668, 374)","(778, 549)"
"(566, 373)","(666, 373)","(752, 540)"
"(565, 373)","(667, 373)","(795, 513)"
Accuarcy Avg,64.20931642605207,N/A
Accuarcy,"[64.18576529823825, 68.9015741860979, 65.02725439008954, 68.59278979131855, 62.69587055906144, 63.94901738589862, 66.68167262570358, 66.44133308983109, 68.4745582206709, 65.28391706210638, 58.99196148052862, 53.8683456994365, 64.26494784914921, 60.114421527625616, 66.44133308983109, 59.68202765942466, 67.56411169332523, 63.94901738589862, 65.166009365546, 60.25511870305778, 67.86459788425368]",N/A
Precision,0.012762767043886878,N/A
=====,=====,=====
"(571, 373)","(671, 374)","(787, 517)"
"(570, 373)","(670, 374)","(778, 513)"
"(570, 373)","(671, 375)","(812, 523)"
"(572, 373)","(672, 376)","(830, 582)"
"(570, 374)","(671, 375)","(800, 540)"
"(571, 373)","(672, 375)","(812, 523)"
"(572, 373)","(671, 375)","(795, 576)"
"(572, 373)","(673, 375)","(812, 513)"
"(572, 374)","(672, 375)","(764, 517)"
"(571, 373)","(674, 376)","(790, 576)"
"(572, 373)","(673, 375)","(795, 513)"
"(571, 373)","(673, 375)","(790, 523)"
"(571, 373)","(673, 375)","(803, 549)"
"(572, 373)","(673, 375)","(812, 490)"
"(572, 373)","(673, 376)","(812, 523)"
"(572, 373)","(675, 376)","(847, 582)"
"(572, 373)","(673, 375)","(812, 540)"
"(573, 373)","(675, 375)","(830, 549)"
"(573, 373)","(674, 375)","(812, 523)"
"(573, 373)","(675, 375)","(812, 540)"
"(573, 373)","(672, 375)","(795, 490)"
Accuarcy Avg,67.6968788355792,N/A
Accuarcy,"[69.86122956813796, 70.82020426091927, 66.75127181236792, 64.89853085065987, 68.19859051364818, 66.75127181236792, 69.24511099141495, 66.95455574077701, 72.03184368527751, 69.78109594874488, 69.0537678924691, 69.46393782498056, 67.85489722240163, 67.72185107389205, 66.75127181236792, 62.03673509474679, 66.61477894278624, 63.84286229838117, 66.75127181236792, 66.61477894278624, 69.6345974456682]",N/A
Precision,0.02079121742766252,N/A
=====,=====,=====
"(574, 373)","(676, 376)","(847, 523)"
"(573, 373)","(675, 376)","(850, 576)"
"(572, 372)","(674, 375)","(830, 503)"
"(572, 373)","(676, 375)","(795, 540)"
"(573, 373)","(674, 376)","(802, 523)"
"(574, 373)","(676, 376)","(837, 523)"
"(575, 373)","(675, 376)","(860, 523)"
"(574, 373)","(675, 376)","(830, 523)"
"(575, 373)","(675, 375)","(847, 517)"
"(573, 373)","(674, 375)","(812, 549)"
"(574, 373)","(675, 375)","(842, 549)"
"(574, 373)","(675, 375)","(820, 540)"
"(574, 373)","(676, 376)","(830, 576)"
"(575, 373)","(678, 375)","(842, 523)"
"(575, 373)","(677, 376)","(850, 576)"
"(573, 372)","(675, 376)","(820, 546)"
"(570, 373)","(675, 375)","(808, 549)"
"(574, 372)","(676, 375)","(847, 523)"
"(573, 373)","(675, 376)","(825, 523)"
"(573, 373)","(675, 376)","(837, 549)"
"(573, 373)","(675, 376)","(830, 513)"
Accuarcy Avg,81.87747123460993,N/A
Accuarcy,"[81.59859438253099, 81.56349042733765, 81.93241580506967, 82.48275193691238, 82.3787147967552, 81.7853467563508, 81.3428457399997, 81.91124499531199, 81.60388169801266, 82.21440389709689, 81.68857457527214, 82.07926009835893, 81.93099005059526, 81.69301188410572, 81.56349042733765, 82.07992524971155, 82.27956064419965, 81.59859438253099, 81.99885208084446, 81.78105585691995, 81.91989024155421]",N/A
Precision,0.16269745297189728,N/A
=====,=====,=====
"(574, 373)","(673, 376)","(847, 490)"
"(574, 373)","(674, 376)","(895, 549)"
"(575, 373)","(675, 376)","(875, 523)"
"(574, 373)","(675, 376)","(842, 549)"
"(575, 373)","(675, 376)","(860, 523)"
"(575, 373)","(675, 375)","(864, 549)"
"(574, 374)","(675, 376)","(871, 540)"
"(575, 374)","(676, 376)","(877, 540)"
"(576, 374)","(677, 377)","(877, 576)"
"(576, 373)","(677, 376)","(854, 523)"
"(575, 373)","(676, 376)","(812, 549)"
"(577, 373)","(675, 376)","(864, 549)"
"(576, 373)","(676, 376)","(866, 549)"
"(575, 373)","(676, 377)","(854, 549)"
"(576, 373)","(676, 377)","(866, 549)"
"(576, 373)","(678, 377)","(882, 549)"
"(574, 374)","(674, 376)","(824, 540)"
"(575, 373)","(676, 376)","(825, 576)"
"(575, 372)","(676, 375)","(864, 523)"
"(574, 373)","(675, 376)","(837, 523)"
"(575, 372)","(676, 376)","(895, 572)"
Accuarcy Avg,85.05744920200634,N/A
Accuarcy,"[85.1525384894751, 84.81331916859229, 84.9566216592835, 85.17414690371659, 85.0582866634485, 85.03062893336414, 84.9827812766494, 84.94135976291442, 84.947586642582, 85.09781727166484, 85.35702891270424, 85.03062893336414, 85.0171585137857, 85.0969058501575, 85.0171585137857, 84.90671515907067, 85.28524548129506, 85.284251402305, 85.03157780976574, 85.2064709556341, 84.8182049385741]",N/A
Precision,0.333815584089773,N/A
=====,=====,=====
"(569, 375)","(670, 377)","(717, 608)"
"(571, 375)","(670, 377)","(743, 576)"
"(570, 375)","(671, 376)","(702, 549)"
"(567, 375)","(670, 376)","(691, 572)"
"(569, 375)","(671, 376)","(720, 600)"
"(570, 375)","(670, 376)","(746, 608)"
"(570, 375)","(670, 376)","(734, 540)"
"(569, 375)","(670, 376)","(737, 549)"
"(570, 375)","(670, 377)","(753, 576)"
"(569, 375)","(669, 376)","(726, 540)"
"(570, 375)","(670, 377)","(726, 612)"
"(569, 374)","(670, 376)","(743, 576)"
"(569, 374)","(669, 376)","(735, 576)"
"(566, 375)","(669, 376)","(709, 608)"
"(568, 375)","(669, 376)","(754, 576)"
"(569, 374)","(669, 376)","(751, 549)"
"(568, 375)","(670, 375)","(743, 572)"
"(569, 374)","(670, 376)","(782, 549)"
"(569, 375)","(669, 375)","(761, 517)"
"(569, 374)","(669, 375)","(724, 540)"
"(568, 374)","(669, 375)","(751, 513)"
Accuarcy Avg,81.01818915146998,N/A
Accuarcy,"[80.29341218750227, 81.11028538316579, 80.4980170321334, 79.9897041305048, 80.42688021931919, 80.95243663693212, 81.23436727642175, 81.21158751135992, 81.30632878576219, 81.0822261769062, 80.4792986887234, 81.11028538316579, 80.94750278602208, 80.09543488041002, 81.32549456816872, 81.47102425127419, 81.14064238444897, 81.99906159259962, 81.8958706816293, 81.04347113829468, 81.76864048612528]",N/A
Precision,0.08796910187940259,N/A
=====,=====,=====
"(561, 405)","(656, 406)","(790, 523)"
"(559, 405)","(655, 406)","(786, 503)"
"(558, 405)","(654, 405)","(800, 513)"
"(559, 404)","(657, 405)","(825, 549)"
"(557, 405)","(654, 406)","(770, 582)"
"(559, 404)","(655, 405)","(764, 523)"
"(559, 405)","(655, 405)","(776, 540)"
"(558, 405)","(654, 405)","(746, 513)"
"(558, 405)","(656, 405)","(794, 513)"
"(559, 404)","(655, 404)","(786, 517)"
"(559, 405)","(656, 405)","(782, 513)"
"(558, 404)","(656, 405)","(782, 523)"
"(558, 404)","(656, 405)","(764, 523)"
"(559, 404)","(656, 405)","(772, 523)"
"(559, 404)","(657, 405)","(774, 549)"
"(560, 404)","(657, 404)","(792, 490)"
"(559, 404)","(656, 404)","(756, 499)"
"(561, 404)","(657, 405)","(792, 541)"
"(561, 404)","(658, 405)","(796, 523)"
"(561, 404)","(657, 405)","(756, 549)"
"(561, 403)","(658, 405)","(800, 523)"
Accuarcy Avg,75.04340934702782,N/A
Accuarcy,"[75.50767953640262, 76.24985245683425, 76.25410487341, 75.7458756750247, 71.34674370734632, 74.62686030850051, 74.16209458207723, 74.61332776280311, 76.06841132961364, 75.64341577965934, 75.69682604723768, 75.23574223202338, 74.62686030850051, 74.89638052170875, 73.58538297404245, 76.9304954187048, 75.6182557955724, 74.75498092722646, 75.71117092132374, 72.7907522326327, 75.84638289693945]",N/A
Precision,0.038122112744088305,N/A
=====,=====,=====
"(564, 403)","(661, 405)","(841, 523)"
"(564, 403)","(661, 405)","(815, 549)"
"(564, 403)","(661, 405)","(812, 523)"
"(565, 403)","(661, 405)","(822, 513)"
"(565, 403)","(661, 404)","(800, 513)"
"(566, 403)","(664, 404)","(815, 517)"
"(566, 402)","(662, 404)","(792, 469)"
"(567, 403)","(665, 405)","(835, 523)"
"(568, 402)","(665, 404)","(828, 490)"
"(567, 402)","(664, 404)","(815, 490)"
"(567, 403)","(664, 405)","(828, 523)"
"(567, 402)","(664, 404)","(812, 513)"
"(567, 402)","(664, 404)","(792, 523)"
"(567, 402)","(665, 404)","(804, 540)"
"(567, 402)","(663, 404)","(800, 513)"
"(569, 402)","(665, 404)","(859, 513)"
"(567, 402)","(665, 404)","(800, 513)"
"(567, 404)","(664, 406)","(828, 630)"
"(568, 401)","(665, 403)","(817, 503)"
"(567, 402)","(665, 403)","(814, 540)"
"(567, 401)","(665, 403)","(800, 481)"
Accuarcy Avg,75.35598203513341,N/A
Accuarcy,"[74.45997694412415, 74.0681602646159, 75.43972897322219, 75.57334721183769, 76.25410487341, 75.61128032854606, 78.03620874056848, 74.6604017409615, 76.43172755541794, 76.75438364769019, 74.89638052170875, 75.88252131442383, 76.11524098443816, 74.96043478008022, 76.25410487341, 74.47113277944734, 76.25410487341, 68.16920404350695, 76.16524686896516, 74.56308150943902, 77.45484990857837]",N/A
Precision,0.025176857921744726,N/A
=====,=====,=====
"(573, 401)","(669, 403)","(859, 540)"
"(574, 401)","(671, 404)","(841, 549)"
"(575, 400)","(671, 404)","(829, 540)"
"(572, 400)","(671, 403)","(782, 549)"
"(573, 401)","(671, 403)","(805, 523)"
"(573, 401)","(671, 404)","(835, 540)"
"(574, 401)","(673, 403)","(867, 513)"
"(573, 400)","(671, 402)","(841, 503)"
"(573, 401)","(670, 403)","(812, 503)"
"(573, 401)","(671, 403)","(859, 513)"
"(574, 401)","(672, 404)","(823, 513)"
"(574, 401)","(672, 403)","(842, 513)"
"(573, 401)","(671, 404)","(841, 576)"
"(573, 401)","(670, 403)","(828, 513)"
"(573, 401)","(670, 403)","(817, 513)"
"(572, 400)","(673, 404)","(906, 576)"
"(573, 401)","(671, 403)","(866, 549)"
"(572, 401)","(669, 403)","(800, 549)"
"(572, 400)","(670, 403)","(824, 549)"
"(572, 400)","(670, 403)","(842, 549)"
"(572, 400)","(670, 402)","(841, 490)"
Accuarcy Avg,82.42078973193264,N/A
Accuarcy,"[82.04281014054209, 82.26406197320364, 82.49183400852311, 83.0698031882729, 82.90558634967392, 82.40576382507412, 82.1126422396117, 82.55414691547375, 82.92777498623256, 82.23163222436145, 82.73018520453547, 82.47433428992375, 82.11335374093116, 82.66436740979836, 82.80778912073616, 80.92676988460008, 81.86855844181483, 82.84107724537331, 82.51339750942348, 82.24891985237375, 82.64177582010588]",N/A
Precision,0.10359243274904208,N/A
=====,=====,=====
"(575, 399)","(672, 401)","(846, 513)"
"(577, 400)","(673, 402)","(877, 523)"
