BEGINING,TEST,HERE
"(576, 400)","(674, 402)","(871, 549)"
"(576, 399)","(673, 401)","(835, 523)"
"(577, 399)","(674, 401)","(860, 540)"
"(578, 399)","(675, 401)","(873, 513)"
"(577, 399)","(674, 401)","(888, 490)"
"(577, 399)","(675, 401)","(882, 490)"
"(577, 399)","(675, 401)","(877, 513)"
"(578, 399)","(675, 402)","(877, 549)"
"(579, 399)","(676, 402)","(884, 576)"
"(579, 398)","(676, 401)","(853, 503)"
"(580, 399)","(677, 402)","(871, 523)"
"(580, 399)","(678, 402)","(853, 523)"
"(581, 399)","(677, 402)","(860, 523)"
"(581, 399)","(677, 402)","(858, 549)"
"(580, 399)","(679, 402)","(888, 513)"
"(581, 399)","(677, 402)","(871, 523)"
"(581, 399)","(678, 402)","(884, 576)"
"(581, 399)","(678, 402)","(864, 540)"
"(581, 399)","(678, 402)","(884, 523)"
Accuarcy Avg,85.15891199265855,N/A
Accuarcy,"[85.3206531838929, 85.11842009422904, 85.11471315245952, 85.36818747745137, 85.19637180196949, 85.16043538556791, 85.1110759677788, 85.14793637671957, 85.13580228122184, 85.07649874736721, 84.99191873023912, 85.29659176537382, 85.15567398409567, 85.26422498381571, 85.22257173598666, 85.19556787239127, 85.06680866164638, 85.15567398409567, 84.99191873023912, 85.17185090976196, 85.07425601952659]",N/A
Precision,0.4983440190337862,N/A
=====,=====,=====
"(575, 399)","(670, 401)","(719, 501)"
"(574, 399)","(671, 400)","(711, 490)"
"(575, 399)","(673, 399)","(764, 458)"
"(574, 399)","(672, 401)","(746, 523)"
"(574, 398)","(672, 400)","(717, 469)"
"(575, 399)","(672, 401)","(754, 531)"
"(575, 398)","(673, 400)","(764, 490)"
"(574, 398)","(670, 399)","(728, 490)"
"(575, 398)","(673, 400)","(764, 523)"
"(575, 398)","(671, 400)","(718, 490)"
"(574, 399)","(672, 400)","(746, 549)"
"(575, 398)","(671, 400)","(728, 501)"
"(575, 399)","(672, 400)","(743, 540)"
"(575, 399)","(672, 399)","(728, 517)"
"(576, 398)","(673, 400)","(764, 523)"
"(576, 398)","(672, 400)","(746, 513)"
"(576, 398)","(673, 400)","(772, 501)"
"(577, 398)","(674, 401)","(768, 576)"
"(578, 398)","(674, 400)","(764, 540)"
"(578, 398)","(674, 400)","(728, 549)"
"(578, 398)","(675, 400)","(770, 549)"
Accuarcy Avg,83.29224962223037,N/A
Accuarcy,"[83.2001579423612, 83.23748301155197, 83.89951900204032, 83.23545811313559, 83.47617534810227, 83.23858673543599, 83.6554442778807, 83.37381062311294, 83.39342343690667, 83.29384467212356, 83.00646739065773, 83.2753877147313, 83.05794059573034, 83.12927885024014, 83.39342343690667, 83.32171810672895, 83.63280701562977, 82.99681899785429, 83.2548383774749, 82.82717540668047, 83.23748301155197]",N/A
Precision,0.20196156071438515,N/A
=====,=====,=====
"(576, 399)","(675, 402)","(770, 612)"
"(578, 399)","(674, 400)","(792, 540)"
"(580, 398)","(676, 400)","(788, 523)"
"(579, 399)","(676, 401)","(800, 576)"
"(578, 399)","(675, 400)","(770, 540)"
"(578, 398)","(674, 400)","(764, 576)"
"(577, 399)","(674, 400)","(792, 608)"
"(577, 399)","(672, 401)","(786, 576)"
"(575, 399)","(674, 399)","(790, 572)"
"(576, 398)","(673, 399)","(792, 490)"
"(576, 399)","(673, 400)","(792, 540)"
"(577, 398)","(675, 399)","(805, 490)"
"(577, 398)","(676, 400)","(812, 549)"
"(577, 398)","(674, 400)","(789, 540)"
"(578, 398)","(675, 400)","(800, 576)"
"(577, 398)","(673, 400)","(782, 549)"
"(576, 398)","(673, 400)","(800, 576)"
"(577, 397)","(673, 399)","(772, 523)"
"(576, 397)","(675, 400)","(800, 540)"
"(576, 397)","(674, 399)","(772, 523)"
"(578, 397)","(675, 400)","(782, 513)"
Accuarcy Avg,80.40825228088713,N/A
Accuarcy,"[78.54999217001433, 80.69880479552981, 81.02032421248867, 79.95637688981768, 80.50741441579004, 79.54749757802216, 78.9980927664568, 79.79097506127981, 79.93778886822905, 81.67313810020102, 80.69880479552981, 81.7602282330874, 80.70122759036565, 80.67166623987532, 79.95637688981768, 80.40609596628414, 79.95637688981768, 80.89721132749489, 80.7726041813035, 80.89721132749489, 81.1750895997293]",N/A
Precision,0.06115453996904566,N/A
=====,=====,=====
"(578, 398)","(676, 400)","(800, 549)"
"(581, 397)","(679, 400)","(782, 582)"
"(582, 397)","(679, 399)","(810, 490)"
"(579, 396)","(678, 399)","(790, 490)"
"(582, 397)","(678, 399)","(810, 501)"
"(580, 397)","(678, 399)","(795, 513)"
"(581, 397)","(679, 400)","(817, 549)"
"(581, 397)","(679, 400)","(822, 549)"
"(580, 398)","(677, 400)","(812, 582)"
"(580, 398)","(676, 400)","(800, 523)"
"(580, 397)","(679, 399)","(825, 523)"
"(581, 397)","(678, 399)","(800, 501)"
"(581, 397)","(679, 399)","(807, 608)"
"(582, 397)","(679, 400)","(782, 576)"
"(581, 397)","(678, 399)","(789, 540)"
"(581, 397)","(679, 400)","(782, 549)"
"(582, 397)","(679, 400)","(817, 549)"
"(582, 396)","(679, 399)","(817, 490)"
"(582, 397)","(680, 399)","(822, 540)"
"(582, 397)","(679, 400)","(793, 576)"
"(580, 397)","(681, 399)","(800, 513)"
Accuarcy Avg,80.74711930662622,N/A
Accuarcy,"[80.57976948771432, 80.03942780671197, 81.66014015165061, 81.79485351222976, 81.46129466157632, 81.35019514136117, 80.41544106242108, 80.36910478545597, 79.65932038188801, 81.11821655224522, 80.91959518784414, 81.5321680576707, 79.01316629895582, 80.17803643897561, 80.87717496366683, 80.76338732548811, 80.41544106242108, 81.61554449546438, 80.5748851232272, 80.04152183348047, 81.31082110870196]",N/A
Precision,0.06699033863770337,N/A
=====,=====,=====
"(581, 397)","(679, 400)","(823, 549)"
"(583, 398)","(681, 400)","(871, 513)"
"(582, 398)","(678, 399)","(823, 523)"
"(580, 398)","(678, 400)","(817, 523)"
"(581, 398)","(678, 401)","(835, 523)"
"(582, 398)","(679, 400)","(871, 513)"
"(581, 397)","(678, 401)","(824, 585)"
"(581, 398)","(677, 400)","(829, 576)"
"(582, 397)","(678, 400)","(829, 549)"
"(581, 397)","(678, 400)","(817, 549)"
"(582, 397)","(679, 400)","(848, 549)"
"(580, 397)","(681, 400)","(843, 582)"
"(580, 397)","(678, 399)","(823, 549)"
"(582, 397)","(678, 400)","(859, 549)"
"(582, 397)","(677, 400)","(828, 582)"
"(581, 397)","(678, 399)","(812, 549)"
"(582, 396)","(680, 400)","(877, 556)"
"(582, 397)","(679, 400)","(848, 576)"
"(582, 397)","(678, 400)","(835, 549)"
"(580, 396)","(678, 399)","(830, 549)"
"(580, 397)","(678, 399)","(841, 576)"
Accuarcy Avg,83.52253924809422,N/A
Accuarcy,"[83.66240339042037, 83.51546431497471, 83.83430978229545, 83.88186580227523, 83.73774650376109, 83.51546431497471, 83.41280997545279, 83.42569627291874, 83.6101973546885, 83.7140154714486, 83.44094293719348, 83.24657260397646, 83.66240339042037, 83.34021463596241, 83.39431323136023, 83.75657341178312, 83.11271994133237, 83.2409188730295, 83.5573956054545, 83.60143847255267, 83.30985792370326]",N/A
Precision,0.23465268150919041,N/A
=====,=====,=====
"(581, 397)","(677, 399)","(842, 523)"
"(580, 397)","(680, 400)","(899, 585)"
"(582, 397)","(679, 399)","(871, 576)"
"(583, 396)","(682, 399)","(871, 549)"
"(582, 397)","(680, 399)","(846, 576)"
"(583, 397)","(682, 399)","(853, 549)"
"(584, 397)","(681, 400)","(866, 549)"
"(585, 397)","(682, 399)","(864, 540)"
"(584, 396)","(683, 400)","(866, 546)"
"(584, 398)","(683, 400)","(871, 576)"
"(585, 397)","(682, 400)","(884, 576)"
"(584, 397)","(681, 400)","(848, 540)"
"(585, 397)","(683, 400)","(871, 576)"
"(584, 397)","(683, 400)","(884, 612)"
"(585, 397)","(682, 400)","(864, 612)"
"(585, 397)","(683, 400)","(884, 608)"
"(586, 397)","(682, 400)","(882, 576)"
"(585, 397)","(682, 400)","(871, 576)"
"(584, 397)","(681, 399)","(859, 549)"
"(585, 397)","(681, 400)","(877, 612)"
"(584, 396)","(684, 399)","(895, 540)"
Accuarcy Avg,85.43429861343505,N/A
Accuarcy,"[85.67674636014833, 85.23957876421147, 85.41327610749263, 85.47730451155215, 85.54078639878855, 85.56601813599703, 85.50226000233519, 85.53352814133738, 85.50939878857419, 85.41327610749263, 85.34434906343799, 85.61038091446062, 85.41327610749263, 85.25940718173096, 85.37042504821682, 85.26857131417138, 85.35507372911403, 85.41327610749263, 85.53679146701549, 85.29881489087806, 85.37773174019556]",N/A
Precision,0.40614985524645014,N/A
=====,=====,=====
END,TEST,HERE
