Left Pupil,Right Pupil,Horizontal Value,Vertical Value,Gaze Location
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(310, 196)","(411, 190)",0.7283536585365853,0.5993589743589745,Looking left
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(302, 193)","(401, 194)",0.4003322259136213,0.6388888888888888,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(312, 186)","(410, 185)",0.5877630121816169,0.39869281045751637,Looking center
"(261, 324)","(306, 322)",0.7850877192982456,0.8571428571428572,Looking left
,,,,
,,,,
"(261, 324)","(307, 322)",0.8095975232198143,0.7857142857142857,Looking left
"(262, 323)","(307, 323)",0.8114035087719298,0.8452380952380952,Looking left
,,,,
"(262, 323)","(307, 322)",0.8391812865497076,0.7738095238095238,Looking left
,,,,
,,,,
"(261, 323)","(305, 323)",0.8166666666666667,0.8452380952380952,Looking left
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
